track_id,genres,followers,popularity
0TDLuuLlV54CkRRUOahJb4,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",26082029,88
5OMwQFBcte0aWFJFqrr5oj,"['dance pop', 'pop']",7576382,77
6Uy6K3KdmUdAfelUp0SeXn,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock', 'post-teen pop']",1898847,66
1nZzRJbFvCEct3uzu04ZoL,['pop'],27286428,84
50kpGaPAhYJ3sGmk6vplg0,"['canadian pop', 'pop']",72266711,89
3SPDQfj2UfWq6A2NllZnzn,"['boy band', 'pop', 'post-teen pop', 'talent show']",31297571,85
6QgjcU0zLnzq5OrUoSZ3OK,"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",1383873,67
5BTpeKg0dwxGmyELhIpkj8,"['art pop', 'dance pop', 'pop']",26653702,85
6F5c58TMEs1byxUstkzVeM,['pop'],27286428,84
0tgVpDi06FyKpA1z0VMD4v,"['pop', 'uk pop']",112455903,91
2l8w0zZVn4AZNuzrht7MRT,"['indietronica', 'metropopolis', 'pop', 'uk pop']",12006127,81
5ybJm6GczjQOgTqmJ0BomP,['pop'],75809975,100
2Zj4FUsMtu9PMuJsHbGbdv,"['art pop', 'dance pop', 'pop']",26653702,85
6NPVjNh8Jhru9xOmyQigds,"['dance pop', 'pop']",4199295,80
0afhq8XCExXpqazXczTSve,"['pop', 'uk pop']",112455903,91
2P4OICZRVAQcYAV2JReRfj,"['edm', 'pop', 'pop dance']",22894859,81
20I6sIOMTCkB6w7ryavxtO,"['canadian pop', 'dance pop', 'pop']",5206411,72
55h7vJchibLdUkxdlX3fK7,"['dance pop', 'pop']",48489803,87
580t2NTEMOuCHV1sN3uhyD,['pop'],75809975,100
4rHZZAmHpZrA3iH5zx8frV,"['dance pop', 'pop']",12944959,79
22VdIZQfgXJea34mQxlt81,"['canadian contemporary r&b', 'canadian pop', 'pop']",65720504,95
18AJRdgUoO9EYn11N7xzaT,"['metropopolis', 'pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",3400894,74
6sy3LkhNFjJWlaeSMNwQ62,"['piano rock', 'pop']",15654989,83
1HNkqx9Ahdgi1Ixy2xkKkL,"['pop', 'uk pop']",112455903,91
3cHyrEgdyYRjgJKSOiOtcS,"['dance pop', 'miami hip hop', 'pop']",10023789,82
0C4ejWmOTMv8vuYj85mf8m,"['barbadian pop', 'pop', 'urban contemporary']",55519329,90
5PsMbxhgWpJMsouEfDTX6r,"['dance pop', 'pop']",48489803,87
4Ub8UsjWuewQrPhuepfVpd,"['metropopolis', 'modern rock', 'pop']",5365446,74
