track_id,genres,followers,popularity
59iOUHLoaKgFOfKHHO9fgQ,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
2gYfLYgEXoxbjcS79M2j55,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
3K5TAZ192q52fTDQjz52av,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
5xwlLnghuHyBoPl0UOCF4K,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
3ClTTx4OhxZRBATO4Wyj5i,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
1sHxx6JFlwNEZqQl55eOOI,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
5witywN8YtKvIj95C2zdKz,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
1vmUKUlXXZChWhCdnE8LxS,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
78qIL92mSpGOm4gH7qgP3a,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
6eIyQmLtCxLVzPS8SqfB4Y,"['classical', 'italian opera', 'italian romanticism', 'late romantic era']",597993,60
