track_id,name,album,artist,release_date,length,popularity_x,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,genres,followers,popularity_y
0GqkdKlkJnlBvXskIA5WXu,"Sonata No. 4 in A Major, Op. 13, RV 59, ""Il pastor fido"": II. Allegro ma non presto","Vivaldi: Pastor Fido (Il), Op. 13, Nos. 1-6",Antonio Vivaldi,1993-05-17,184893,43,0.513,0.885,0.18,0.27,0.253,-17.549,0.0533,119.965,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
7EXJrZRm1oDPCjCVp0kqcy,"Cello Concerto in G Minor, RV 416: III. Allegro","Vivaldi: Cello Concertos, Vol. 4",Antonio Vivaldi,1995-02-09,188266,44,0.442,0.934,0.145,0.856,0.314,-20.807,0.0376,135.354,3,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5VNlUlsA6yZLzDzEctTkst,"Concerto Grosso In G Minor, Op. 3, No. 2, RV 578: I. Adagio E Spiccato - Allegro","Vivaldi: L´Estro Armonico, Op. 3",Antonio Vivaldi,1988-10-15,264200,44,0.406,0.864,0.248,0.56,0.157,-15.132,0.0389,105.382,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
45M0qfEV7MtoMn8eHkSAjF,"Flute Concerto in F Major, RV. 433 ""La tempesta di mare"": III. Presto",Vivaldi: L'estro armonico; 6 Flute Concertos,Antonio Vivaldi,2005-01-01,127466,42,0.504,0.949,0.176,0.0316,0.331,-20.48,0.0508,110.544,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
1bzZ07QjPJoXsjdinN8jfj,"Concerto In D Major For 2 Violins, Strings & Continuo, RV 511: 2. Largo",The Power of Vivaldi,Antonio Vivaldi,2020-09-26,267613,33,0.206,0.683,0.0201,0.0607,0.108,-26.47,0.0574,75.042,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
5lTZgMZobfxCHv8X3RnpIB,Nisi Dominus aedificaverit domum,"Vivaldi, A.: Sacred Music, Vol. 3",Antonio Vivaldi,2008-09-30,169880,42,0.436,0.977,0.205,5.65e-05,0.123,-19.03,0.0361,108.191,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
2h012RNvxEE5mqeKUKfIi7,"Cello Concerto in D Minor, RV 407: I. Allegro","Vivaldi: Cello Concerti, Vol. 3",Antonio Vivaldi,1995-02-13,202866,44,0.42,0.949,0.13,0.934,0.111,-22.782,0.0378,115.975,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
2xsvdEyqL37Qj3nBjekrUA,"Vivaldi: Le quattro stagioni (The Four Seasons), Violin Concerto in E Major Op. 8, No. 1, RV 269, ""Spring"": III. Allegro (Danza pastorale)",Vivaldi: The Four Seasons & Violin Concertos,Antonio Vivaldi,2015-08-28,259680,42,0.384,0.938,0.135,0.886,0.233,-16.295,0.0347,82.274,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
7HYpAkbObRWUmvp754VZCH,"Concerto for 2 Violins in A Minor, RV 523: I. Allegro molto",Vivaldi: Concertos for 2 Violins,Antonio Vivaldi,1996-01-01,244600,42,0.466,0.716,0.201,0.0281,0.123,-17.276,0.0376,121.385,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
21FuEp6ezh5Yau5mq4pKfV,"Vivaldi: L'estro armonico, Concerto for Two Violins in A Minor, Op. 3 No. 8, RV 522 ""Per eco in lontano"": I. Allegro","Vivaldi: Les quatre saisons - Concertos pour deux violons, RV 511 & RV 522",Antonio Vivaldi,2003-01-01,173784,43,0.405,0.875,0.233,0.889,0.152,-16.915,0.0344,134.87,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
0KJHN5Y2zDcKh7riFHvpTt,"Vivaldi: The Four Seasons, Violin Concerto in F Major, Op. 8 No. 3, RV 293 ""Autumn"": I. Allegro",Vivaldi: The Four Seasons.,Antonio Vivaldi,2007-10-01,321786,43,0.409,0.904,0.0596,0.55,0.123,-22.221,0.0514,117.598,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
0ON7LeIWChOhxhMHZY4qLZ,"Oboe Concerto in C Major, RV 452: II. Adagio","Vivaldi: Oboe Concertos, Vol. 1",Antonio Vivaldi,2001-07-03,123106,47,0.292,0.978,0.121,0.931,0.0898,-18.339,0.0456,130.238,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
4vGkaPECPrris9KsNGQRgX,"Vivaldi: Giustino, RV 717: Sinfonia, 1. Allegro",Vivaldi - Il Giustino,Antonio Vivaldi,2002,138800,42,0.433,0.747,0.131,0.0303,0.152,-23.811,0.0423,138.718,4,"['baroque', 'classical', 'early music', 'italian baroque']",2225780,70
2u9VGZmVz7Rm01SfDgzcfA,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",Liszt - My Piano Hero,Franz Liszt,2011-08-22,293146,63,0.279,0.987,0.0292,0.902,0.104,-26.804,0.0406,136.732,3,"['classical', 'late romantic era']",730871,61
6Y2ID5LrizFmT8FL0BQEgG,"3 Études de Concert, S. 144: No. 3 in D-Flat Major ""Un sospiro""","Transcendental - Daniil Trifonov Plays Franz Liszt (Etudes S. 139, S. 141, S. 144, S. 145)",Franz Liszt,2016-10-07,319346,45,0.152,0.984,0.0568,0.91,0.0953,-26.529,0.0412,76.486,4,"['classical', 'late romantic era']",730871,61
1dFVnX4mJTnWubAPE8S3OR,"Mephisto Waltz No. 1, S. 514",Liszt: Piano Works,Franz Liszt,2011-05-20,662600,46,0.356,0.981,0.152,0.903,0.0807,-20.155,0.0406,132.413,4,"['classical', 'late romantic era']",730871,61
3JAaETnjF592bbsgzUXAMp,"Liszt: Piano Concerto No. 2 in A Major, S. 125: IV. Allegro animato","Liszt: Piano Concertos Nos 1, 2 & Totentanz",Franz Liszt,1995-09-29,97973,35,0.364,0.924,0.251,0.947,0.065,-14.84,0.0323,97.644,4,"['classical', 'late romantic era']",730871,61
5HMB40txXdGhVcPH5QxibE,"Consolations, S. 172: No. 3 in D-Flat Major. Lento placido","Liszt: Consolations, S. 172: No. 3 in D-Flat Major. Lento placido",Franz Liszt,2021-08-20,283106,38,0.39,0.989,0.0249,0.922,0.135,-24.02,0.0366,134.107,4,"['classical', 'late romantic era']",730871,61
3mmuiyuZHEE2ZKzgzZP8sS,"12 Etudes d'execution transcendante, S139/R2b: No. 12 in B Minor, ""Chasse neige""","Liszt: 12 Etudes D'Execution Transcendante, S139/R2B",Franz Liszt,1997-06-16,316333,36,0.295,0.989,0.1,0.865,0.0749,-21.91,0.0304,93.655,4,"['classical', 'late romantic era']",730871,61
5XBWQDLsTWj9uoVeKG2uuo,"Grandes Études de Paganini, S. 141: No. 3 in G-Sharp Minor ""La Campanella""","Transcendental - Daniil Trifonov Plays Franz Liszt (Etudes S. 139, S. 141, S. 144, S. 145)",Franz Liszt,2016-10-07,291440,41,0.268,0.967,0.204,0.843,0.0893,-22.032,0.0355,92.786,4,"['classical', 'late romantic era']",730871,61
4GDmXyfuxk6omRjCCF3Nr1,"Berceuse, S. 174",Liszt,Franz Liszt,2021-02-19,576866,34,0.295,0.976,0.0448,0.917,0.0768,-30.105,0.0409,136.347,4,"['classical', 'late romantic era']",730871,61
